depth_m,qc_MPa,fs_kPa,u2_kPa,u_kPa
2.975,9.9465,42.6862,-16.5474,-16.5474
2.97,9.9347,42.1499,-16.5474,-16.5474
2.985,9.9026,41.8282,-16.5474,-16.5474
2.98,9.8243,41.3992,-16.5474,-16.5474
2.995,9.7331,41.1847,-16.5474,-16.5474
2.99,9.687,41.1847,-16.5474,-16.5474
3.005,9.6033,41.1847,-16.59645,-16.5474
3,9.5025,40.9702,-16.5474,-16.5474
3.015,9.4392,40.8629,-16.69455,-16.5474
3.01,9.3266,40.9702,-16.6455,-16.5474
3.025,9.2966,41.0774,-16.79265,-16.5474
3.02,9.2601,40.9702,-16.7436,-16.5474
3.035,9.2086,41.2919,-16.89075,-16.5474
3.03,9.1883,41.6137,-16.8417,-16.5474
